JobID,JobTitle,CompetencyID,CompetencyName,Weight,Level,Keywords
J01,Data Analyst,C01,Data Cleaning,4,Advanced,"data cleaning, data wrangling, preprocessing, preparation, missing values, outliers, duplicates, imputation, normalization, standardization, data profiling, data validation, pandas, data quality checks, analytics, business analytics, BI, reporting, insights, dashboarding"
J01,Data Analyst,C02,Data Visualization,5,Advanced,"data visualization, dashboards, charts, plots, storytelling, data storytelling, matplotlib, seaborn, plotly, Power BI, Tableau, Looker Studio, visualization best practices, UX for data, analytics, business analytics, BI, reporting, insights, dashboarding"
J01,Data Analyst,C03,SQL,5,Advanced,"SQL, queries, joins, subqueries, CTE, window functions, aggregate functions, group by, indexes, relational databases, PostgreSQL, MySQL, SQL Server, Snowflake, BigQuery, query tuning, analytics, business analytics, BI, reporting, insights, dashboarding"
J01,Data Analyst,C04,Exploratory Data Analysis,5,Advanced,"exploratory data analysis, EDA, descriptive statistics, distributions, correlation, hypothesis generation, data profiling, pandas-profiling, visualization for EDA, analytics, business analytics, BI, reporting, insights, dashboarding"
J01,Data Analyst,C18,Business Intelligence,4,Advanced,"business intelligence, BI, reporting, dashboards, KPI, metrics layer, DAX, Power BI, SSAS, Looker, semantic models, analytics, business analytics, BI, reporting, insights, dashboarding"
J01,Data Analyst,C19,Dashboarding,5,Advanced,"dashboard, data storytelling, filters, slicers, interactivity, layout, Power BI, Tableau, Looker Studio, KPI design, analytics, business analytics, BI, reporting, insights, dashboarding"
J01,Data Analyst,C20,Data Storytelling & Communication,4,Advanced,"data storytelling, communication, presentation, slide design, executive summary, stakeholder management, requirement gathering, narrative with data, analytics, business analytics, BI, reporting, insights, dashboarding"
J01,Data Analyst,C21,Experiment Design & A/B Testing,3,Intermediate,"experiment design, A/B testing, randomized controlled trials, uplift modeling, power analysis, sample size, segmentation, online experiments, analytics, business analytics, BI, reporting, insights, dashboarding"
J01,Data Analyst,C26,Python Programming,3,Intermediate,"Python, pandas, NumPy, scikit-learn, Jupyter, matplotlib, pip, virtualenv, packaging, type hints, analytics, business analytics, BI, reporting, insights, dashboarding"
J01,Data Analyst,C35,Data Quality Management,4,Advanced,"data quality, validation, profiling, completeness, accuracy, consistency, anomaly detection, Great Expectations, dbt tests, analytics, business analytics, BI, reporting, insights, dashboarding"
J02,Data Scientist,C01,Data Cleaning,3,Intermediate,"data cleaning, data wrangling, preprocessing, preparation, missing values, outliers, duplicates, imputation, normalization, standardization, data profiling, data validation, pandas, data quality checks, data science, modeling, predictive modeling, research, experimentation"
J02,Data Scientist,C04,Exploratory Data Analysis,4,Advanced,"exploratory data analysis, EDA, descriptive statistics, distributions, correlation, hypothesis generation, data profiling, pandas-profiling, visualization for EDA, data science, modeling, predictive modeling, research, experimentation"
J02,Data Scientist,C05,Statistics,5,Expert,"statistics, statistical inference, hypothesis testing, p-value, confidence interval, ANOVA, regression, probability distributions, Bayesian methods, sampling, variance, bias, data science, modeling, predictive modeling, research, experimentation"
J02,Data Scientist,C06,Machine Learning,5,Expert,"machine learning, supervised learning, unsupervised learning, classification, regression, clustering, k-means, decision trees, random forest, gradient boosting, xgboost, lightgbm, scikit-learn, model training, data science, modeling, predictive modeling, research, experimentation"
J02,Data Scientist,C10,Feature Engineering,4,Advanced,"feature engineering, feature selection, encoding, scaling, normalization, PCA, dimensionality reduction, interaction terms, target encoding, feature importance, data science, modeling, predictive modeling, research, experimentation"
J02,Data Scientist,C11,Model Evaluation & Validation,5,Advanced,"model evaluation, validation, cross-validation, k-fold, stratified, train test split, ROC AUC, precision, recall, F1-score, confusion matrix, calibration, metrics, data science, modeling, predictive modeling, research, experimentation"
J02,Data Scientist,C22,Time Series Analysis & Forecasting,3,Intermediate,"time series, forecasting, ARIMA, SARIMA, Prophet, LSTM forecasting, seasonality, trend, anomaly detection, signal processing, data science, modeling, predictive modeling, research, experimentation"
J02,Data Scientist,C26,Python Programming,5,Advanced,"Python, pandas, NumPy, scikit-learn, Jupyter, matplotlib, pip, virtualenv, packaging, type hints, data science, modeling, predictive modeling, research, experimentation"
J02,Data Scientist,C42,Experiment Tracking,3,Intermediate,"experiment tracking, MLflow, Weights & Biases, Neptune, experiment metadata, artifacts, reproducibility, data science, modeling, predictive modeling, research, experimentation"
J02,Data Scientist,C40,LLMs & Prompt Engineering,3,Intermediate,"LLM, prompt engineering, few-shot, retrieval, RAG, OpenAI, Anthropic, Hugging Face, LangChain, function calling, tool use, data science, modeling, predictive modeling, research, experimentation"
J03,ML Engineer,C06,Machine Learning,4,Advanced,"machine learning, supervised learning, unsupervised learning, classification, regression, clustering, k-means, decision trees, random forest, gradient boosting, xgboost, lightgbm, scikit-learn, model training, machine learning engineering, production, scalability, latency, serving"
J03,ML Engineer,C07,Deep Learning,4,Advanced,"deep learning, neural networks, CNN, RNN, LSTM, GRU, transformer, backpropagation, PyTorch, TensorFlow, Keras, GPU, fine-tuning, machine learning engineering, production, scalability, latency, serving"
J03,ML Engineer,C12,Model Deployment,5,Advanced,"model deployment, REST API, Flask, FastAPI, Docker, containers, microservices, inference, latency, scalability, model serving, load testing, machine learning engineering, production, scalability, latency, serving"
J03,ML Engineer,C13,MLOps,5,Expert,"MLOps, CI/CD for ML, model registry, monitoring, drift detection, retraining, pipelines, MLflow, Kubeflow, SageMaker, Vertex AI, feature store, governance, machine learning engineering, production, scalability, latency, serving"
J03,ML Engineer,C14,Cloud Platforms,4,Advanced,"cloud, AWS, Azure, GCP, IAM, S3, EC2, Lambda, Databricks, BigQuery, Snowflake, Dataflow, DataProc, cloud architecture, machine learning engineering, production, scalability, latency, serving"
J03,ML Engineer,C15,Data Pipelines,4,Advanced,"data pipeline, Airflow, Prefect, Luigi, scheduling, orchestration, DAG, ETL, ELT, batch processing, streaming, Kafka, Spark Structured Streaming, machine learning engineering, production, scalability, latency, serving"
J03,ML Engineer,C31,CI/CD Automation,4,Advanced,"CI/CD, Git, GitHub Actions, GitLab CI, Jenkins, automated testing, unit tests, integration tests, deployment pipelines, machine learning engineering, production, scalability, latency, serving"
J03,ML Engineer,C32,Containerization & Orchestration,4,Advanced,"Docker, Kubernetes, Helm, containers, orchestration, pods, services, deployments, autoscaling, machine learning engineering, production, scalability, latency, serving"
J03,ML Engineer,C39,Performance Monitoring & Observability,4,Advanced,"monitoring, logging, observability, Prometheus, Grafana, tracing, latency, throughput, SLO, SLA, machine learning engineering, production, scalability, latency, serving"
J03,ML Engineer,C30,API Design & Development,4,Advanced,"API, REST, FastAPI, Flask, Swagger, OpenAPI, authentication, authorization, rate limiting, pagination, machine learning engineering, production, scalability, latency, serving"
J04,BI Developer,C02,Data Visualization,5,Advanced,"data visualization, dashboards, charts, plots, storytelling, data storytelling, matplotlib, seaborn, plotly, Power BI, Tableau, Looker Studio, visualization best practices, UX for data, business intelligence, reporting, dashboards, ETL, metrics, DAX"
J04,BI Developer,C18,Business Intelligence,5,Expert,"business intelligence, BI, reporting, dashboards, KPI, metrics layer, DAX, Power BI, SSAS, Looker, semantic models, business intelligence, reporting, dashboards, ETL, metrics, DAX"
J04,BI Developer,C19,Dashboarding,5,Advanced,"dashboard, data storytelling, filters, slicers, interactivity, layout, Power BI, Tableau, Looker Studio, KPI design, business intelligence, reporting, dashboards, ETL, metrics, DAX"
J04,BI Developer,C03,SQL,4,Advanced,"SQL, queries, joins, subqueries, CTE, window functions, aggregate functions, group by, indexes, relational databases, PostgreSQL, MySQL, SQL Server, Snowflake, BigQuery, query tuning, business intelligence, reporting, dashboards, ETL, metrics, DAX"
J04,BI Developer,C37,Data Modeling (Dimensional/ERM),4,Advanced,"data modeling, ERD, dimensional modeling, normalization, denormalization, star schema, snowflake schema, surrogate keys, business intelligence, reporting, dashboards, ETL, metrics, DAX"
J04,BI Developer,C38,Query Optimization,3,Intermediate,"query optimization, indexing, execution plans, caching, partitioning, clustering, cost-based optimizer, business intelligence, reporting, dashboards, ETL, metrics, DAX"
J04,BI Developer,C36,ETL/ELT,4,Advanced,"ETL, ELT, extraction, transformation, loading, connectors, Fivetran, Stitch, Informatica, Talend, dbt, business intelligence, reporting, dashboards, ETL, metrics, DAX"
J04,BI Developer,C26,Python Programming,3,Intermediate,"Python, pandas, NumPy, scikit-learn, Jupyter, matplotlib, pip, virtualenv, packaging, type hints, business intelligence, reporting, dashboards, ETL, metrics, DAX"
J04,BI Developer,C35,Data Quality Management,4,Advanced,"data quality, validation, profiling, completeness, accuracy, consistency, anomaly detection, Great Expectations, dbt tests, business intelligence, reporting, dashboards, ETL, metrics, DAX"
J04,BI Developer,C20,Data Storytelling & Communication,3,Intermediate,"data storytelling, communication, presentation, slide design, executive summary, stakeholder management, requirement gathering, narrative with data, business intelligence, reporting, dashboards, ETL, metrics, DAX"
J05,Data Engineer,C15,Data Pipelines,5,Expert,"data pipeline, Airflow, Prefect, Luigi, scheduling, orchestration, DAG, ETL, ELT, batch processing, streaming, Kafka, Spark Structured Streaming, data engineering, pipelines, batch, streaming, scalability, reliability"
J05,Data Engineer,C16,Big Data Processing,4,Advanced,"big data, Hadoop, Spark, MapReduce, HDFS, Hive, distributed computing, partitioning, parallel processing, data engineering, pipelines, batch, streaming, scalability, reliability"
J05,Data Engineer,C36,ETL/ELT,5,Expert,"ETL, ELT, extraction, transformation, loading, connectors, Fivetran, Stitch, Informatica, Talend, dbt, data engineering, pipelines, batch, streaming, scalability, reliability"
J05,Data Engineer,C14,Cloud Platforms,4,Advanced,"cloud, AWS, Azure, GCP, IAM, S3, EC2, Lambda, Databricks, BigQuery, Snowflake, Dataflow, DataProc, cloud architecture, data engineering, pipelines, batch, streaming, scalability, reliability"
